#RA DEC r-mag spread_model spread_model_err
76.70972443 -56.09148407 22.2622 0.113884 0.00281195
77.43066406 -56.09014893 23.8355 0.186889 0.00355943
76.93730927 -56.09244156 17.7021 0.000614052 0.000119566
77.34483337 -56.08994675 23.7293 0.117396 0.000750548
77.41641235 -56.08911896 23.4456 0.19276 0.00476369
76.70831299 -56.08895493 23.7259 0.105846 0.00133818
76.93730927 -56.08854294 22.4485 1.83952 0.00707478
76.60023499 -56.08760834 22.7797 0.125495 0.00264633
77.3102417 -56.08694458 21.8738 0.0324607 0.0135307
76.60063171 -56.0864563 22.5106 1.70761 0.0147813
76.5554657 -56.08566666 21.6798 1.35224 -0.00487577
76.90184784 -56.08586121 23.8317 0.226398 0.00657798
77.1750946 -56.08531189 21.8355 0.426718 0.0224981
76.74471283 -56.08475876 23.1807 0.238127 0.00726756
76.59313965 -56.08455658 21.0431 0.0181686 -0.000498852
77.28769684 -56.08419037 23.0767 0.638405 0.003171
77.03969574 -56.08490372 19.9448 0.00885618 6.37764e-05
76.50358582 -56.08361435 21.5968 0.0301313 0.0230461
77.06234741 -56.08423615 21.2291 0.0132693 0.000279865
76.57115173 -56.08347702 20.7942 0.00676952 -0.00153938
76.84580231 -56.08409119 23.3847 0.259592 0.00799931
76.68880463 -56.08378601 23.0413 0.0826511 0.0158817
76.90029907 -56.08383942 24.2278 0.173133 -0.0038171
77.17974091 -56.08335495 24.5901 0.74853 0.000935093
76.58125305 -56.08285904 24.0104 0.114488 -0.00613201
76.69113922 -56.08263397 23.3024 0.191805 0.00259098
76.47512817 -56.08191681 22.3084 0.189142 0.00610838
76.56430817 -56.0819397 23.6736 0.42463 0.000785312
76.47280884 -56.08132935 22.7633 0.292468 0.0104704
76.73114014 -56.08148575 24.0316 0.368481 0.00660757
76.82538605 -56.11231232 22.2234 0.617334 0.00886659
76.6848526 -56.11194229 22.0128 0.0440823 0.01248
77.24065399 -56.11124802 22.3049 0.0472575 0.0266108
77.01864624 -56.11084366 23.1495 0.232839 0.000698403
77.1960907 -56.11011505 21.6418 0.305128 0.00295305
76.87759399 -56.10989761 22.7125 0.2333 0.0103374
76.66984558 -56.10902023 23.0808 0.257282 0.00364369
77.13844299 -56.1086998 20.8042 0.00998087 0.00168719
77.11927032 -56.10815048 19.6127 0.00662292 -0.000182606
77.23764801 -56.10742569 20.256 0.0223051 0.00540142
76.86154175 -56.10707092 23.5405 0.140545 -0.00335364
77.3574295 -56.105793 22.6096 0.0594597 0.0160556
76.93147278 -56.10861969 16.2504 0.00180289 0.00144935
76.67608643 -56.10607529 18.8138 0.00245103 0.000429663
77.02523804 -56.104702 23.764 0.126039 -0.000287306
76.846138 -56.10388184 21.2104 0.0437995 0.00973088
76.64762115 -56.10304642 21.2424 0.0886367 0.00774056
77.27062988 -56.10229111 23.2116 0.174463 0.00874756
76.77648163 -56.1012001 23.4536 0.325356 0.000440949
77.08907318 -56.10081863 21.8366 0.227093 0.00565798
77.31786346 -56.09927368 23.1042 0.475855 0.00553656
76.61126709 -56.09861755 23.7174 0.225974 0.00366827
77.09889984 -56.09820938 24.2418 0.172446 0.00423884
77.36549377 -56.09717178 22.2495 0.134446 0.0111201
77.00010681 -56.09734726 21.1217 0.222344 0.0181098
77.35836029 -56.0961113 23.3986 0.417699 0.0138623
76.74011993 -56.09587097 23.7403 0.207999 0.00246917
77.3302536 -56.09490204 21.1305 0.15567 0.0131962
77.20544434 -56.0947876 25.2279 0.369274 -0.0149079
77.1322937 -56.0952034 17.0827 0.00035104 6.49219e-05
76.89859772 -56.09488678 18.2933 0.00127783 0.000300222
76.56600952 -56.09277725 24.0735 0.155268 0.00297151
76.99530792 -56.09301376 22.7464 1.00761 0.00293019
76.9129715 -56.09229279 21.6009 0.0640447 0.0158118
77.32866669 -56.09115219 19.1816 0.00130045 0.000187746
76.9344635 -56.09107208 23.6234 1.3095 0.00621877
77.34729767 -56.0900116 22.2151 0.135557 0.00833124
76.59957123 -56.08948517 23.6738 0.244062 -0.000743033
77.16902924 -56.08936691 25.4338 56.69 -0.0188593
77.33847809 -56.08859253 22.6706 0.0407512 0.0129489
76.66365814 -56.08827972 23.2053 0.480306 0.00458267
76.72528076 -56.08775711 23.8905 0.306075 0.0135939
77.23309326 -56.0866394 23.2252 0.15302 0.00131278
77.28188324 -56.08586884 23.6879 0.0702462 -0.00318927
76.61721039 -56.08549118 22.9502 0.165225 0.000177944
77.02080536 -56.08549118 23.4054 0.110489 0.00322973
76.75196075 -56.08491516 22.3156 0.0660662 0.0138451
76.62239838 -56.08406067 23.8854 0.153727 0.000268372
77.11541748 -56.08417511 23.1544 0.0977353 -0.000714321
77.27345276 -56.0839386 22.5855 0.026712 -0.000940471
76.60349274 -56.08480072 18.1846 0.00114785 -0.00113019
77.21961212 -56.08392334 23.8845 0.274848 0.00386718
76.47990417 -56.08316422 23.1343 0.0858754 0.00282601
76.94430542 -56.08385086 22.6042 0.170336 0.000773032
76.963974 -56.0837059 22.186 0.0810626 0.00272629
76.81978607 -56.08348846 21.3196 2.52839 0.0220899
76.85939789 -56.08330917 21.4787 0.0245065 0.000878717
76.98584747 -56.08290863 22.8528 0.28639 0.0015042
76.45843506 -56.08163452 22.2709 0.304644 0.0127616
76.94248962 -56.08255005 23.1208 0.145036 0.000581673
76.99452209 -56.0822525 22.7646 0.93475 0.000962985
76.57259369 -56.081604 22.8261 0.174563 -0.00503319
76.95439911 -56.07879639 23.2488 0.410985 0.00475803
76.98170471 -56.07864761 23.9918 14.395 0.0491509
76.8715744 -56.07855225 23.5036 0.185825 -0.00441518
77.24726868 -56.078228 21.8654 0.104968 0.004345
76.77979279 -56.11232758 21.4308 0.436892 0.00460528
76.6427536 -56.11184311 21.4441 2.05308 0.0202836
77.38260651 -56.11069107 22.1742 0.240504 0.00610795
77.21681213 -56.11000061 23.2799 0.262232 0.00821711
76.65365601 -56.10948944 22.8245 6.55139 0.00530158
77.35007477 -56.10877991 21.8333 0.0285475 0.0221445
76.43518066 -56.10775757 20.8435 0.0298348 0.0146316
77.2658844 -56.1077919 23.9041 0.222913 -0.000473049
76.70819855 -56.10751343 22.3045 0.153634 0.00681125
76.93070221 -56.10710144 21.7717 0.104966 0.0105564
76.55992126 -56.10583115 22.8836 0.042346 -0.00202464
77.25187683 -56.10544205 21.8315 0.631818 0.0130431
77.23814392 -56.10496902 23.2208 0.188871 0.0068746
76.93640137 -56.10464859 22.3599 0.103333 0.0086734
77.17028046 -56.10373688 23.7561 0.160746 0.0100369
77.40271759 -56.10253143 22.4802 0.106153 0.000484663
76.94960785 -56.10255432 23.4348 0.619363 0.00910063
76.52539062 -56.10123825 21.0752 0.0340188 0.00758586
76.64750671 -56.10102463 22.7294 0.093243 -0.00186417
77.17142487 -56.1006279 22.2852 0.285297 0.00635497
76.53991699 -56.09912109 23.1024 3.53962 -0.00620494
77.38583374 -56.09833145 25.5736 0.320478 -0.00612068
76.69608307 -56.09802628 23.975 0.269555 -0.0188395
76.64533234 -56.09748077 23.2711 0.175705 0.00522205
76.45449066 -56.09627914 23.031 0.0808798 0.00565785
77.19470978 -56.09654236 22.9679 0.090141 0.000215898
76.90118408 -56.09611511 21.1012 0.0572113 0.0166301
77.42489624 -56.09450531 24.7746 2.15214 -0.0010292
77.33102417 -56.09453964 21.9423 0.531967 0.0123693
76.69274139 -56.0941925 23.8585 0.172409 0.00714799
77.29566956 -56.09348679 22.7772 0.675106 0.00579837
76.51150513 -56.09259796 24.1591 0.406194 0.00310214
76.73612976 -56.09210968 22.8527 0.469704 0.00865402
76.59470367 -56.08390808 21.2806 0.0492232 0.00339735
77.25688934 -56.08390808 22.6071 0.140362 0.00234342
76.77341461 -56.09094238 23.2942 0.127404 0.0122575
76.82520294 -56.09107971 21.758 1.49719 0.00443236
76.7033844 -56.09031677 23.639 0.321325 0.00191638
76.90067291 -56.08990479 23.0657 0.39104 0.0128677
76.64112854 -56.08916473 23.8433 0.168885 -0.00619516
77.16410828 -56.08908463 20.6651 6.11915 -0.00605456
76.57679749 -56.08790207 22.7142 1.11145 0.00476064
76.5083313 -56.08724213 23.4778 0.12032 0.00306338
76.56748962 -56.08686066 22.3183 0.0687435 0.000985164
76.444664 -56.08583832 22.0384 0.0458375 -3.84686e-05
77.02909088 -56.08620834 20.8277 0.0859652 0.0218947
77.06015015 -56.08589935 21.8245 0.101326 0.00166163
76.78858948 -56.08525848 21.4904 0.287922 1
77.30452728 -56.08450699 22.5135 0.0918964 0.00971994
77.07154083 -56.08465958 17.7415 0.000455879 -6.80831e-05
77.2984314 -56.08380127 22.3019 0.0371634 0.000701177
77.33039856 -56.0834198 23.1577 0.138601 0.0110782
76.46126556 -56.08294678 23.0577 0.688177 -0.00613249
76.72077179 -56.0837059 22.9259 0.472636 0.00117104
77.08473969 -56.08363724 22.3908 0.11294 0.0145255
77.11839294 -56.08438873 19.7339 0.00902758 0.0207328
76.78471375 -56.08308792 22.3569 0.0552993 -0.00282958
76.82302856 -56.08284378 19.8468 1.93763 0.019814
77.29142761 -56.08201599 24.2096 0.182303 -0.0124601
77.34268188 -56.08157349 22.0533 0.156896 0.00209362
76.69311523 -56.07772827 23.5662 0.165246 0.0071169
76.98532867 -56.0779953 17.2657 0.0259999 0.000899375
77.42713928 -56.07709122 21.9148 0.0408421 0.00215849
76.68172455 -56.07784653 23.2487 0.495469 0.00732797
77.42950439 -56.11145782 23.09 0.681174 0.00710963
76.91178894 -56.11208344 22.4131 0.177252 0.00920256
76.57009888 -56.11091995 23.1807 0.360546 0.00923187
77.19194794 -56.11055756 22.7813 0.608771 0.00214146
77.03703308 -56.11025238 21.5361 0.555924 0.00983606
76.84922791 -56.10980606 22.4109 0.137715 0.00496823
77.21472931 -56.10906601 24.2428 0.174005 0.000932634
77.26885986 -56.10778427 21.4248 0.0134654 0.000475464
76.75559998 -56.10745239 22.6745 0.0699778 0.000715034
77.23556519 -56.10678101 20.7839 0.0200603 0.0120177
76.63192749 -56.105896 24.0576 0.228552 0.0169001
76.68088531 -56.1055069 22.5697 0.521542 0.00551608
76.76221466 -56.10515213 34.0201 0 0.0242375
76.51745605 -56.10424423 19.141 0.00187882 -0.00112598
77.40983582 -56.10243225 22.4596 0.134303 0.0197403
76.58961487 -56.1022377 21.9245 0.0505554 0.028862
76.66083527 -56.1015625 24.541 0.178939 -0.00575359
76.58055878 -56.10084152 23.1444 0.164463 -4.04975e-05
77.16003418 -56.10064697 24.0377 0.227131 0.00774788
76.99376678 -56.10038376 21.5678 0.325666 0.0119747
76.4382782 -56.0988121 19.4246 0.0052612 0.000566138
77.16960144 -56.09803391 23.0987 0.0801084 0.0108263
76.5031662 -56.09697342 23.087 0.328876 0.0106806
77.13735199 -56.0970726 23.0405 0.116004 0.00577636
76.70735931 -56.09653473 23.324 0.171838 0.00164138
77.33026123 -56.09547806 21.7092 0.09995 0.00706463
76.70630646 -56.09949493 16.8903 0.000581873 7.13831e-05
76.82764435 -56.09498215 23.558 0.171099 0.00861911
76.89044189 -56.09452438 22.882 0.148283 0.00546962
76.59435272 -56.09344101 23.6331 0.122995 0.000479635
76.5562973 -56.09281921 22.9905 0.355692 -0.00541968
77.2903595 -56.09249115 22.5539 0.143898 0.000910962
77.07013702 -56.09224319 22.2373 0.0583298 0.0101944
76.90572357 -56.09229279 22.2823 0.04872 0.00120458
77.12321472 -56.09146118 22.9609 0.186845 0.00125186
76.71710205 -56.09128189 22.4404 0.129041 0.0123669
76.82377625 -56.09100342 21.4657 2.38174 -0.0321922
76.82015228 -56.0909996 21.5272 0.823819 -0.00436692
76.96463013 -56.09063721 22.5879 0.226796 0.0135625
76.80539703 -56.09040833 23.5082 0.140187 0.0158033
76.88734436 -56.08953857 21.3086 0.222793 -0.0277734
76.87361908 -56.09003448 23.7599 0.224418 0.0206854
77.42249298 -56.08866501 21.8937 0.0511235 0.00642232
76.94158173 -56.08948135 24.317 0.155284 -0.0089928
76.7269516 -56.08898926 22.3897 0.304318 0.0174821
