City Income Commute Literacy Job_Growth Physicians Rape_Rate Restaurants Housing Median_Age Household_Income
A 26000 49.2 5.15 10.8 1987 51.3 5582 109400 35.3 68000
B 29300 45.3 5.97 9.5 517 50.8 9988 97000 43.2 70400
C 24800 39.8 9.41 8.2 592 77.7 20511 114700 29.5 60500
D 27900 46.8 4.61 7.6 3310 51.2 8946 99100 40.5 65900
E 37500 39.9 5.64 12.2 975 40.1 4000 122200 47.1 84700
F 31900 49.5 4.80 7.7 2238 38.0 8970 145300 39.3 75800
G 25300 44.4 6.84 5.4 611 38.8 9570 99500 38.6 62600
H 22000 44.8 2.79 6.2 272 65.7 19101 76400 41.6 54800
I 29400 44.9 4.48 7.8 381 48.7 12099 112500 41.8 72900
J 42400 44.7 5.16 8.0 1812 45.4 10953 143500 41.2 100000
K 40500 40.0 6.41 10.9 294 69.6 2655 173600 41.7 102000
L 24700 38.7 1.66 9.0 196 19.0 15796 129200 33.4 65300
M 24400 41.1 5.60 8.7 404 77.2 16001 126500 30.6 62200
N 22400 42.8 2.16 8.3 534 57.9 16712 102700 34.5 59200
O 22200 37.8 2.72 8.4 166 50.9 11856 110300 35.4 57100
P 27500 48.4 4.03 8.1 1553 83.6 12348 107400 34.3 72000
Q 23100 44.5 2.07 4.7 502 42.7 65804 116000 38.5 59400
R 25000 41.4 3.61 13.9 172 17.8 36151 120000 52.7 57300
S 25800 53.5 5.03 5.3 4143 57.4 14310 132800 36.2 71900
T 22600 45.0 5.29 6.5 526 52.2 8878 86500 41.5 54000
